Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10/13/25,1.0,0.8125,1.125,1.125,1.5,1.125,1.125,1.75,1.125,1.125,1.125,1.0,1.5,1.125,1.125,1.5
10/20/25,1.0,1.125,1.0,1.125,1.25,1.0,1.125,1.5,1.0,1.125,1.0,1.0,1.25,1.0,1.125,1.5
10/29/25,1.125,1.375,1.125,1.0,1.5,1.0,1.125,1.5,1.125,1.0,1.1875,1.0,1.5,1.0,1.0,1.5
11/12/25,1.0,1.25,1.25,1.25,1.5,0.75,0.875,1.75,1.25,1.25,1.25,1.25,1.5,0.75,0.75,1.5
11/17/25,1.25,1.0,1.0,1.125,1.75,1.0,1.0,1.75,1.125,1.125,1.0,1.125,1.75,1.0,1.0,1.75
11/24/25,1.0,1.0,0.75,1.0,1.5,1.0,1.125,1.5,1.0,1.125,0.75,1.0,1.5,0.75,1.0,1.5
12/1/25,1.125,1.0,0.5,1.0,1.5,1.0,1.125,1.5,1.0,1.125,0.75,1.0,1.5,0.75,1.0,1.5
12/9/25,1.125,1.0,0.75,1.0,1.5,1.0,1.0,1.5,1.0,1.25,1.0,1.25,1.5,0.875,1.0,1.5
12/16/25,1.25,1.125,1.0,1.25,1.5,1.0,1.0,1.5,1.25,1.25,1.0,1.25,1.5,0.875,1.0,1.375
12/22/25,1.25,1.25,1.0,1.375,1.5,1.0,1.0,1.75,1.25,1.5,1.25,1.375,1.5,1.0,1.0,1.375
1/5/26,1.375,1.25,1.25,1.375,1.75,1.0,1.0,1.75,1.375,1.5,1.25,1.375,1.5,1.0,1.0,1.75
1/13/26,1.375,1.375,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75
1/20/26,1.5,1.5,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75
1/27/26,1.5,1.5,1.5,1.5,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75
2/6/26,1.5,1.5,1.25,1.25,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.625,1.25,1.75
2/13/26,1.5,1.5,1.5,1.375,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75
2/18/26,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.625,0.625,1.25,1.5
2/26/26,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,1.0,1.25,1.75
3/5/26,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5
3/12/26,1.5,1.5,1.5,1.375,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5
3/19/26,1.5,1.375,1.5,1.375,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,0.75,1.0,1.5
3/24/26,1.5,1.375,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.25,1.25,1.5,1.5,0.75,1.0,1.5
4/6/26,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.75
4/8/26,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.375
4/16/26,1.5,1.25,1.25,1.5,1.625,1.25,1.25,1.5,1.5,1.5,1.375,1.25,1.5,1.1875,1.1875,1.5
4/23/26,1.5,1.5,1.5,1.5,2.0,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.625,1.25,1.25,1.75
4/29/26,1.5,1.5,1.5,1.5,1.75,1.25,1.25,1.75,1.5,1.5,1.5,1.25,1.75,1.0,1.25,1.75
5/5/26,1.5,1.5,1.5,1.5,2.0,1.25,1.25,2.0,1.5,1.5,1.5,1.5,2.0,1.0,1.25,2.0
5/13/26,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.5,1.5,1.5,1.125,1.5,1.0,1.375,1.5
5/20/26,1.5,1.0,1.0,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.0,1.5,1.0,1.5,1.5
6/1/26,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.25,1.25,1.25,1.125,1.375,1.125,1.5,1.625
6/9/26,1.5,1.125,1.125,1.75,1.5,1.5,1.625,1.375,1.5,1.375,1.375,1.125,1.625,1.125,1.5,1.75
